"session","created","modified","ended","expired","respondentID","doePath","doe","autoAttendantImg_beg","pageTime3","pageTime4","transportMode_regular","transportMode_regularOther","transportMode_occassionally","transportMode_occassionallyOther","transportMode_never","pageTime5","modeChangeBus","modeChangeRail","modeChangeRH","modeChangeSharedRH","pageTime6","avFamiliarity","automationComfort","transportCosts","avSafety","avBenefit","transportOptions","sharingWillingness","ptAccess","vehicleAccess","environmentConsid","pageTime7","pageTime8","pageTime9","pageTime10","attentionCheck","attentionScreenout"
"WK_6vKtL7SK9bVEN38kUZOvbri2U64fvNQOwZTunZjEv3OcAX3QtzxJKGbKNbqn2","2021-10-04 21:50:31","2021-10-04 21:55:40","2021-10-04 21:55:41","","1484","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 21:50:34","2021-10-04 21:51:10","personalVehicle","","personalVehicle","","personalVehicle","2021-10-04 21:51:35","less","less","neverUsed","neverUsed","2021-10-04 21:51:35","agree","agree","disagree","agree","disagreeStrong","agreeStrong","disagreeStrong","agree","agreeStrong","disagreeStrong","2021-10-04 21:54:27","2021-10-04 21:54:38","2021-10-04 21:54:50","2021-10-04 21:55:23","attendant_no","0"
"6_hvW-LN3guXWurw7jkZ1OdYDd2NHzrwWESYfC3A9Ih2LonPNn98H56dkdrE_ptD","2021-10-04 21:52:28","","","","4469","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 21:52:29","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bUNCOQ4RXDK8GGfQgSqmqMqd9rCjOrGEuVpTWbtc4PcGZP0U9S_HudNZYOLolTDq","2021-10-04 21:56:42","2021-10-04 21:59:18","2021-10-04 21:59:18","","1352","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 21:56:42","2021-10-04 21:57:11","rail","","bus","","personalVehicle","2021-10-04 21:57:26","more","more","less","less","2021-10-04 21:57:26","neutral","neutral","agree","agreeStrong","agree","neutral","agree","neutral","agree","disagree","2021-10-04 21:57:55","2021-10-04 21:57:58","2021-10-04 21:58:45","2021-10-04 21:59:09","attendant_no","0"
"vyFnC4ZcVNrsx3x7R57_dUILJmVd49oc7Q6Fqb85wnlHvvK4MIEJHFklqkjRS_VZ","2021-10-04 21:56:59","2021-10-04 22:00:54","2021-10-04 22:00:54","","785","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 21:57:00","2021-10-04 21:57:55","personalVehicle","","personalVehicle","","personalVehicle","2021-10-04 21:58:20","neverUsed","less","neverUsed","neverUsed","2021-10-04 21:58:20","neutral","disagree","agree","disagree","agreeStrong","neutral","disagreeStrong","agree","agree","agree","2021-10-04 21:59:40","2021-10-04 22:00:01","2021-10-04 22:00:24","2021-10-04 22:00:49","non_auto","1"
"uw4MPqucaqyQjRoUkE4BFTuMpQnb_xvbhHKpyEK9jp0ysL1FfUh9YP4NizhvLv16","2021-10-04 21:59:41","2021-10-04 22:01:56","2021-10-04 22:01:56","","381","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 21:59:41","2021-10-04 22:00:27","rail","","bus, rail","","bus","2021-10-04 22:00:41","same","neverUsed","same","neverUsed","2021-10-04 22:00:41","neutral","disagree","neutral","neutral","agree","neutral","agree","agree","agree","neutral","2021-10-04 22:00:59","2021-10-04 22:01:02","2021-10-04 22:01:42","2021-10-04 22:01:52","attendant_no","0"
"zSGnDhPurjwgwM4l2p0_fcgJrBwIALkTAAqw6EZa9HdriC5hmM1zBStoB-iWVsXe","2021-10-04 22:04:40","2021-10-04 22:07:38","2021-10-04 22:07:38","","3789","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:04:41","2021-10-04 22:04:56","personalVehicle","","RH","","metroaccess","2021-10-04 22:05:43","less","less","less","less","2021-10-04 22:06:14","agree","disagreeStrong","neutral","disagreeStrong","agreeStrong","agree","disagreeStrong","agreeStrong","agreeStrong","disagreeStrong","2021-10-04 22:06:52","2021-10-04 22:07:00","2021-10-04 22:07:13","2021-10-04 22:07:28","attendant_no","0"
"vRgtlxZKsqy8qq55nOSV-SY4ysqH7BCvCYI24ObZ4HzzcvirvR8WFyPKxBXmRB1A","2021-10-04 22:05:59","2021-10-04 22:14:05","2021-10-04 22:14:05","","4557","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:05:59","2021-10-04 22:06:33","personalVehicle","","bus, RH","","usedAll","2021-10-04 22:07:27","same","same","less","less","2021-10-04 22:07:27","agreeStrong","agreeStrong","neutral","neutral","agree","agree","disagree","agree","agreeStrong","disagree","2021-10-04 22:09:40","2021-10-04 22:09:48","2021-10-04 22:11:47","2021-10-04 22:13:41","attendant_no","0"
"kdOf4AbUaU6AchFJapiecA_StA0qI2cRaXkC3L10iwsgmIUL6lR8RVzXujkLMmHo","2021-10-04 22:07:20","2021-10-04 22:11:16","2021-10-04 22:11:16","","1557","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:07:21","2021-10-04 22:08:20","personalVehicle","","personalVehicle","","metroaccess","2021-10-04 22:08:42","neverUsed","less","same","same","2021-10-04 22:08:42","agreeStrong","agreeStrong","agree","agreeStrong","agreeStrong","agree","agreeStrong","agreeStrong","neutral","agreeStrong","2021-10-04 22:09:38","2021-10-04 22:09:43","2021-10-04 22:09:57","2021-10-04 22:10:06","attendant_no","0"
"17hzUclgWSTaqF-9L1edww9m1m0lNnbFjarBH7Sn2043XUJ3n2y2v0mat-k2Zayk","2021-10-04 22:07:54","2021-10-04 22:10:57","2021-10-04 22:10:58","","397","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:07:55","2021-10-04 22:08:19","personalVehicle","","personalVehicle","","usedAll","2021-10-04 22:08:53","less","less","less","less","2021-10-04 22:08:53","agree","disagree","neutral","disagree","neutral","neutral","disagree","agree","agree","neutral","2021-10-04 22:10:29","2021-10-04 22:10:32","2021-10-04 22:10:41","2021-10-04 22:10:47","attendant_no","0"
"XIYoy1wSLaEp_shiQ2gU8z7JGYO9QaTHSS3L2bj0lJvpu8m-3TOAPq_R6jrD66C9","2021-10-04 22:12:33","2021-10-04 22:16:54","2021-10-04 22:16:54","","4382","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-04 22:12:34","2021-10-04 22:13:48","other","I walk","personalVehicle","","RH, sharedRH, metroaccess","2021-10-04 22:14:34","same","same","neverUsed","neverUsed","2021-10-04 22:14:34","agree","disagree","neutral","neutral","neutral","agree","neutral","disagreeStrong","agreeStrong","agreeStrong","2021-10-04 22:15:42","2021-10-04 22:15:48","2021-10-04 22:16:20","2021-10-04 22:16:43","attendant_no","0"
